"country","code","year","consumption"
"Afghanistan","AFG",2000,0.00277
"Afghanistan","AFG",2005,0.02684
"Afghanistan","AFG",2010,0.01241
"Afghanistan","AFG",2015,0.00874
"Afghanistan","AFG",2019,0.01618
"Albania","ALB",2000,4.431
"Albania","ALB",2005,5.2974
"Albania","ALB",2010,5.90031
"Albania","ALB",2015,5.03752
"Albania","ALB",2019,5.10935
"Algeria","DZA",2000,0.30323
"Algeria","DZA",2005,0.4741
"Algeria","DZA",2010,0.43874
"Algeria","DZA",2015,0.5844
"Algeria","DZA",2019,0.61271
"Andorra","AND",2000,12.54881
"Andorra","AND",2005,12.25667
"Andorra","AND",2010,10.77698
"Andorra","AND",2015,10.76055
"Andorra","AND",2019,11.05154
"Angola","AGO",2000,5.18632
"Angola","AGO",2005,6.68614
"Angola","AGO",2010,8.3199
"Angola","AGO",2015,7.75884
"Angola","AGO",2019,6.17199
"Antigua and Barbuda","ATG",2000,5.29374
"Antigua and Barbuda","ATG",2005,5.95229
"Antigua and Barbuda","ATG",2010,5.73723
"Antigua and Barbuda","ATG",2015,7.38706
"Antigua and Barbuda","ATG",2019,8.51359
"Argentina","ARG",2000,6.72978
"Argentina","ARG",2005,6.16791
"Argentina","ARG",2010,7.69025
"Argentina","ARG",2015,8.5713
"Argentina","ARG",2019,8.03999
"Armenia","ARM",2000,3.71295
"Armenia","ARM",2005,4.84032
"Armenia","ARM",2010,5.05579
"Armenia","ARM",2015,4.97721
"Armenia","ARM",2019,4.98389
"Australia","AUS",2000,10.55397
"Australia","AUS",2005,10.8197
"Australia","AUS",2010,11.1012
"Australia","AUS",2015,10.3903
"Australia","AUS",2019,10.0908
"Austria","AUT",2000,12.8907
"Austria","AUT",2005,12.6126
"Austria","AUT",2010,12.23209
"Austria","AUT",2015,12.19174
"Austria","AUT",2019,11.97275
"Azerbaijan","AZE",2000,1.56995
"Azerbaijan","AZE",2005,1.8068
"Azerbaijan","AZE",2010,1.81272
"Azerbaijan","AZE",2015,1.43723
"Azerbaijan","AZE",2019,1.96779
"Bahamas","BHS",2000,4.82975
"Bahamas","BHS",2005,4.68659
"Bahamas","BHS",2010,4.32577
"Bahamas","BHS",2015,4.36107
"Bahamas","BHS",2019,4.39408
"Bahrain","BHR",2000,2.68516
"Bahrain","BHR",2005,2.28207
"Bahrain","BHR",2010,2.34833
"Bahrain","BHR",2015,1.89326
"Bahrain","BHR",2019,1.58154
"Bangladesh","BGD",2000,0.00375
"Bangladesh","BGD",2005,0.00244
"Bangladesh","BGD",2010,0.0038
"Bangladesh","BGD",2015,0.00483
"Bangladesh","BGD",2019,0.00516
"Barbados","BRB",2000,7.02093
"Barbados","BRB",2005,7.80357
"Barbados","BRB",2010,8.2722
"Barbados","BRB",2015,9.1816
"Barbados","BRB",2019,9.46831
"Belarus","BLR",2000,12.63263
"Belarus","BLR",2005,12.7944
"Belarus","BLR",2010,14.98951
"Belarus","BLR",2015,11.04492
"Belarus","BLR",2019,10.90107
"Belgium","BEL",2000,11.41915
"Belgium","BEL",2005,11.24895
"Belgium","BEL",2010,11.3319
"Belgium","BEL",2015,11.2362
"Belgium","BEL",2019,10.28089
"Belize","BLZ",2000,4.67903
"Belize","BLZ",2005,5.93156
"Belize","BLZ",2010,6.13009
"Belize","BLZ",2015,6.34192
"Belize","BLZ",2019,5.71321
"Benin","BEN",2000,2.51799
"Benin","BEN",2005,2.38999
"Benin","BEN",2010,6.61282
"Benin","BEN",2015,8.09811
"Benin","BEN",2019,8.34555
"Bhutan","BTN",2000,3.15778
"Bhutan","BTN",2005,2.04339
"Bhutan","BTN",2010,0.67886
"Bhutan","BTN",2015,0.32406
"Bhutan","BTN",2019,0.19989
"Bolivia","BOL",2000,3.13691
"Bolivia","BOL",2005,3.81242
"Bolivia","BOL",2010,4.66137
"Bolivia","BOL",2015,4.30981
"Bolivia","BOL",2019,4.09584
"Bosnia and Herzegovina","BIH",2000,4.91776
"Bosnia and Herzegovina","BIH",2005,5.58877
"Bosnia and Herzegovina","BIH",2010,5.73725
"Bosnia and Herzegovina","BIH",2015,5.95437
"Bosnia and Herzegovina","BIH",2019,6.3848
"Botswana","BWA",2000,6.93629
"Botswana","BWA",2005,7.44481
"Botswana","BWA",2010,7.4687
"Botswana","BWA",2015,7.07851
"Botswana","BWA",2019,8.16316
"Brazil","BRA",2000,8.71482
"Brazil","BRA",2005,8.27579
"Brazil","BRA",2010,8.63131
"Brazil","BRA",2015,8.19602
"Brazil","BRA",2019,7.67496
"Brunei","BRN",2000,0.21266
"Brunei","BRN",2005,0.17581
"Brunei","BRN",2010,0.28235
"Brunei","BRN",2015,0.40985
"Brunei","BRN",2019,0.4118
"Bulgaria","BGR",2000,11.3699
"Bulgaria","BGR",2005,10.67911
"Bulgaria","BGR",2010,10.65968
"Bulgaria","BGR",2015,11.44063
"Bulgaria","BGR",2019,11.91963
"Burkina Faso","BFA",2000,7.86246
"Burkina Faso","BFA",2005,8.41397
"Burkina Faso","BFA",2010,8.10846
"Burkina Faso","BFA",2015,9.66342
"Burkina Faso","BFA",2019,9.81281
"Burundi","BDI",2000,7.48272
"Burundi","BDI",2005,6.38538
"Burundi","BDI",2010,6.17353
"Burundi","BDI",2015,4.1854
"Burundi","BDI",2019,4.12798
"Cambodia","KHM",2000,1.80814
"Cambodia","KHM",2005,2.80631
"Cambodia","KHM",2010,4.70848
