"country","code","year","consumption"
"Afghanistan","AFG",2019,0.01618
"Albania","ALB",2019,5.10935
"Algeria","DZA",2019,0.61271
"Andorra","AND",2019,11.05154
"Angola","AGO",2019,6.17199
"Antigua and Barbuda","ATG",2019,8.51359
"Argentina","ARG",2019,8.03999
"Armenia","ARM",2019,4.98389
"Australia","AUS",2019,10.0908
"Austria","AUT",2019,11.97275
"Azerbaijan","AZE",2019,1.96779
"Bahamas","BHS",2019,4.39408
"Bahrain","BHR",2019,1.58154
"Bangladesh","BGD",2019,0.00516
"Barbados","BRB",2019,9.46831
"Belarus","BLR",2019,10.90107
"Belgium","BEL",2019,10.28089
"Belize","BLZ",2019,5.71321
"Benin","BEN",2019,8.34555
"Bhutan","BTN",2019,0.19989
"Bolivia","BOL",2019,4.09584
"Bosnia and Herzegovina","BIH",2019,6.3848
"Botswana","BWA",2019,8.16316
"Brazil","BRA",2019,7.67496
"Brunei","BRN",2019,0.4118
"Bulgaria","BGR",2019,11.91963
"Burkina Faso","BFA",2019,9.81281
"Burundi","BDI",2019,4.12798
"Cambodia","KHM",2019,8.48211
"Cameroon","CMR",2019,10.1012
"Canada","CAN",2019,9.89647
"Cape Verde","CPV",2019,6.27088
"Central African Republic","CAF",2019,1.98657
"Chad","TCD",2019,3.73055
"Chile","CHL",2019,6.74572
"China","CHN",2019,5.72525
"Colombia","COL",2019,4.91572
"Comoros","COM",2019,0.25281
"Congo","COG",2019,6.39562
"Costa Rica","CRI",2019,3.45249
"Cote d'Ivoire","CIV",2019,2.80459
"Croatia","HRV",2019,8.54359
"Cuba","CUB",2019,6.01384
"Cyprus","CYP",2019,8.05289
"Czechia","CZE",2019,13.28805
"Democratic Republic of Congo","COD",2019,2.11786
"Denmark","DNK",2019,9.40172
"Djibouti","DJI",2019,0.40234
"Dominica","DMA",2019,6.09709
"Dominican Republic","DOM",2019,6.76339
"East Timor","TLS",2019,0.40188
"Ecuador","ECU",2019,3.25713
"Egypt","EGY",2019,0.14772
"El Salvador","SLV",2019,3.28108
"Equatorial Guinea","GNQ",2019,6.94451
