"id","wave","country_name","iso_code","marital_status","num_of_children","rural_urban_living","age_category","education","gender","employment","trust_people","freq_rel_service_use","freq_internet_personal","freq_sports","freq_social_activities","vol_community_service","vol_education_cult_org","vol_social_charities","vol_political_parties","vol_other_organisation","volunteering_frequency","sei_left_out_soc","sei_life_is_complicated","sei_not_recognised","sei_looked_down","sei_feel_close_to_people","sei","mwbi_felt_cheerful","mwbi_felt_calm","mwbi_felt_active","mwbi_felt_fresh","mwbi_life_is_interesting","mwbi_felt_tense","mwbi_felt_lonely","mwbi_felt_downhearted","mwbi","wlbc_too_tired_household","wlbc_fam_responsibilities","wlbc_cannot_focus_on_work","wlbc","hrs_work_first_job","hrs_work_additional_job","work_hrs"
"AT9000083","2007","Austria","AT","Never married and not living with partner","0","A city or city suburb","18-24","Upper secondary education (ISCED 3)","Male","Student",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,4,NA,3.5,3,2,2,1,2,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA
"AT9000126","2007","Austria","AT","Never married and not living with partner","0","A city or city suburb","18-24","Upper secondary education (ISCED 3)","Male","Student",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,NA,NA,NA,4,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10
"AT9000267","2007","Austria","AT","Married or living with partner","2","A village/small town","65+","Lower secondary education (ISCED 2)","Female","Retired",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,5,NA,1.5,2,3,3,3,3,NA,NA,NA,64,NA,NA,NA,NA,39,NA,39
"AT9000268","2007","Austria","AT","Separated or divorced and not living with partner","0","The open countryside","25-34","Lower secondary education (ISCED 2)","Female","Unemployed",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,NA,3.25,3,3,3,3,3,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA
"AT9000427","2007","Austria","AT","Never married and not living with partner","0","A city or city suburb","18-24","Lower secondary education (ISCED 2)","Female","Student",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4,2,NA,2.5,2,3,2,2,2,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA
"AT9000448","2007","Austria","AT","Married or living with partner","2","A medium to large town","50-64","Upper secondary education (ISCED 3)","Male","Unable to work - disability/illness",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,5,NA,NA,5,3,5,4,3,NA,NA,NA,40,NA,NA,NA,NA,40,NA,40
"AT9000498","2007","Austria","AT","Married or living with partner","2","A city or city suburb","50-64","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,1,2,2,2,4,2,NA,NA,NA,72,1,2,5,2,48,NA,48
"AT9000591","2007","Austria","AT","Never married and not living with partner","0","The open countryside","18-24","Upper secondary education (ISCED 3)","Female","Employed (includes on leave)",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,1,3,3,3,4,3,NA,NA,NA,56,2,4,4,2,39,NA,39
"AT9000637","2007","Austria","AT","Married or living with partner","2","A village/small town","50-64","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Male","Employed (includes on leave)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,4.5,2,2,2,2,2,NA,NA,NA,80,4,2,2,3,45,NA,45
"AT9000746","2007","Austria","AT","Married or living with partner","2","A village/small town","50-64","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,2,NA,3.25,3,3,2,3,5,NA,NA,NA,56,3,4,4,1,39,NA,39
