"id","wave","country_name","iso_code","marital_status","num_of_children","rural_urban_living","age_category","education","gender","employment","trust_people","freq_rel_service_use","freq_internet_personal","freq_sports","freq_social_activities","vol_community_service","vol_education_cult_org","vol_social_charities","vol_political_parties","vol_other_organisation","volunteering_frequency","sei_left_out_soc","sei_life_is_complicated","sei_not_recognised","sei_looked_down","sei_feel_close_to_people","sei","mwbi_felt_cheerful","mwbi_felt_calm","mwbi_felt_active","mwbi_felt_fresh","mwbi_life_is_interesting","mwbi_felt_tense","mwbi_felt_lonely","mwbi_felt_downhearted","mwbi","wlbc_too_tired_household","wlbc_fam_responsibilities","wlbc_cannot_focus_on_work","wlbc","hrs_work_first_job","hrs_work_additional_job","work_hrs"
"AT1189423","2011","Italy","IT",NA,"0","The open countryside","25-34","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",5,5,1,4,5,4,4,4,4,4,1,3,3,3,3,3,3,1,1,1,1,1,1,2,2,100,2,3,1,3,40,NA,40
"AT1156013","2011","Italy","IT","Never married and not living with partner","0","A village/small town","25-34","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",6,2,2,2,5,4,4,4,4,4,1,3,4,3,3,4,2.75,2,2,3,2,5,4,4,4,64,2,NA,4,2,35,NA,35
"AT1030307","2011","Italy","IT","Never married and not living with partner","0","A village/small town","25-34","Lower secondary education (ISCED 2)","Male","Employed (includes on leave)",6,5,1,5,4,4,4,4,4,4,1,NA,5,5,1,5,NA,1,4,1,6,2,4,6,5,64,4,4,4,1,60,NA,60
"AT1057215","2011","Italy","IT","Widowed and not living with partner","0","A village/small town","65+","Lower secondary education (ISCED 2)","Male","Retired",1,2,5,5,5,4,4,4,4,4,1,4,2,2,2,3,3.5,2,2,2,2,2,6,3,6,80,NA,NA,NA,NA,NA,NA,NA
"AT1037718","2011","Italy","IT","Never married and not living with partner","0","A medium to large town","25-34","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",2,5,1,1,5,4,4,4,4,4,1,5,5,2,4,3,2,3,5,4,4,3,4,6,6,44,5,5,5,1,39,NA,39
"AT1218517","2011","Italy","IT","Never married and not living with partner","0","A medium to large town","35-49","Tertiary education - first level (ISCED 5)","Male","Employed (includes on leave)",2,5,1,1,3,4,4,3,4,4,2,5,5,5,5,2,1,2,2,2,2,2,5,6,6,80,2,5,5,2,35,NA,35
"AT1219114","2011","Italy","IT","Never married and not living with partner","0","A city or city suburb","35-49","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",8,5,2,2,5,4,4,4,4,4,1,4,4,4,5,3,1.75,1,1,1,1,1,6,5,5,100,2,2,4,2,48,NA,48
"AT1196118","2011","Italy","IT","Never married and not living with partner","0","A village/small town","18-24","Upper secondary education (ISCED 3)","Male","Unemployed",3,4,2,5,4,4,4,4,4,4,1,4,3,2,4,2,2.75,2,4,1,4,3,4,5,5,64,NA,NA,NA,NA,NA,NA,NA
"AT1061311","2011","Italy","IT","Never married and not living with partner","0","A village/small town","25-34","Tertiary education - first level (ISCED 5)","Male","Employed (includes on leave)",9,5,1,2,5,4,4,4,4,4,1,5,3,5,5,1,1.5,2,2,2,2,2,5,6,6,80,5,5,5,1,40,NA,40
"AT1091617","2011","Germany","DE","Never married and not living with partner",NA,"A medium to large town","25-34","Lower secondary education (ISCED 2)","Male","Employed (includes on leave)",6,5,1,4,5,4,4,4,4,4,1,5,5,2,3,5,2.25,2,2,2,2,2,3,3,3,80,1,5,5,2,40,NA,40
