"age","gender","level_of_study","si_socialise_with_people_exp","si_supportive_friends_exp","si_time_socialising_exp","cs_explain_ideas_imp","cs_find_clarification_imp","cs_learn_different_styles_imp","cs_explain_ideas_exp","cs_find_clarification_exp","cs_learn_different_styles_exp"
22,"Female","UG",6,4,5,6,4,6,6,6,6
26,"Female","PGT",3,4,2,5,5,5,5,5,4
21,"Female","UG",4,5,4,5,5,6,2,4,5
23,"Female","UG",3,4,4,5,6,4,5,6,4
25,"Female","PGT",4,4,3,5,6,4,6,6,6
27,"Female","PGT",2,2,2,5,5,4,5,5,3
24,"Female","UG",5,5,6,4,4,4,6,6,5
23,"Female","UG",1,1,3,5,6,6,6,6,6
21,"Female","UG",6,6,6,6,6,6,6,6,6
24,"Female","UG",6,6,6,6,6,6,6,6,6
21,"Female","UG",3,3,3,5,5,4,4,2,2
30,"Male","PGT",3,3,2,5,5,5,4,5,4
23,"Male","PGT",4,4,4,4,4,5,3,4,2
29,"Female","UG",5,6,6,6,5,5,6,5,5
21,"Male","UG",5,5,5,5,6,5,5,3,5
19,"Male","Other",2,1,1,4,3,3,4,4,3
23,"Female","UG",4,3,2,4,4,3,4,4,2
25,"Female","PGT",4,2,3,6,6,5,4,5,2
28,"Female","PGT",3,4,3,4,4,4,4,4,3
25,"Male","UG",5,3,4,5,6,5,4,5,4
24,"Prefer not to say","PGT",4,4,4,3,3,3,3,3,3
25,"Female","PGT",5,4,5,6,6,6,4,6,6
25,"Female","PGT",4,3,3,6,6,6,5,5,5
22,"Female","UG",1,4,1,5,5,4,4,4,4
19,"Female","UG",3,4,3,6,6,6,4,5,5
20,"Male","UG",3,3,2,6,6,6,5,5,4
25,"Female","UG",4,5,4,5,6,6,5,6,6
23,"Male","PGT",4,5,4,6,6,5,4,5,5
20,"Female","UG",4,5,2,5,5,4,3,3,4
23,"Female","UG",6,6,4,5,6,6,5,6,6
24,"Female","PGR",3,2,2,2,2,2,2,2,2
23,"Female","UG",6,5,5,5,3,5,5,4,5
23,"Male","PGT",3,2,4,4,4,5,3,4,3
25,"Male","UG",4,3,3,2,2,4,2,4,1
24,"Female","UG",5,5,4,6,6,6,4,6,4
21,"Female","UG",4,6,4,6,6,5,6,6,4
22,"Male","UG",6,4,3,4,6,5,4,6,5
24,"Male","UG",4,4,4,4,4,4,5,4,4
28,"Female","PGR",1,2,4,6,6,6,4,4,5
19,"Female","UG",5,6,3,6,6,6,6,6,6
28,"Female","UG",4,3,2,4,5,5,3,4,4
20,"Female","UG",2,3,5,6,6,6,3,3,2
20,"Male","UG",4,3,4,4,5,6,4,5,6
23,"Female","PGT",5,5,4,6,6,6,5,5,5
21,"Male","UG",5,4,4,4,4,4,4,4,4
20,"Male","Other",4,3,3,6,5,5,4,4,3
24,"Female","PGT",3,3,2,6,6,6,3,3,4
20,"Male","UG",5,4,4,4,6,4,3,4,3
20,"Male","UG",6,6,5,5,6,5,6,6,6
23,"Female","UG",4,4,5,4,4,4,5,5,4
42,"Prefer not to say","PGT",4,3,3,2,2,3,2,2,3
