"expenses","distance","country"
11.52,1518,"UK"
13.12,757,"UK"
12.37,1685,"UK"
13.55,81,"UK"
25.81,249,"US"
13.5,673,"UK"
14.4,1612,"UK"
21.08,1466,"UK"
15.32,151,"UK"
5.67,1479,"GER"
19.87,1089,"UK"
12.62,1577,"UK"
11.48,1287,"UK"
26.8,1492,"US"
6.57,621,"GER"
5.39,949,"GER"
18.97,801,"UK"
4.96,1187,"GER"
1.79,1402,"GER"
6.69,1635,"GER"
5.41,1330,"GER"
26.04,308,"US"
25.54,1259,"US"
19.56,1395,"UK"
3.87,293,"GER"
27.28,1940,"US"
13.15,1679,"UK"
17.6,336,"UK"
2.66,491,"GER"
25.9,320,"US"
19.84,1426,"UK"
4.05,799,"GER"
25.6,1515,"US"
25.16,324,"US"
25.5,535,"US"
25.64,1140,"US"
24.82,1782,"US"
25.57,1484,"US"
3.78,549,"GER"
12.07,1424,"UK"
19.08,869,"UK"
6.67,1691,"GER"
27.46,1715,"US"
17.9,375,"UK"
9.96,394,"GER"
16.82,2163,"UK"
10.32,190,"UK"
17.39,1650,"UK"
6.8,1694,"GER"
25.84,1156,"US"
19.2,1234,"UK"
5.43,1431,"GER"
14.5,87,"UK"
26.99,1586,"US"
15.29,1887,"UK"
26.84,1626,"US"
25.94,133,"US"
3.11,1892,"GER"
26.14,1727,"US"
6,590,"GER"
25.1,1441,"US"
11.81,2015,"UK"
26.8,756,"US"
24.8,1535,"US"
26.6,2274,"US"
13.4,423,"UK"
21.92,1345,"UK"
24.95,1074,"US"
26.98,1155,"US"
6.41,62,"GER"
12.01,1522,"UK"
25.96,1963,"US"
9.36,1201,"GER"
9.86,1087,"GER"
26.52,145,"US"
27.39,2059,"US"
26.57,463,"US"
11.3,189,"UK"
8.58,2147,"GER"
11.7,1556,"UK"
24.63,1535,"US"
6.33,1990,"GER"
26.69,2046,"US"
16.49,243,"UK"
26.75,251,"US"
8.21,31,"GER"
27.23,2093,"US"
25.56,749,"US"
11.98,908,"UK"
16.04,2020,"UK"
21.74,1255,"UK"
5.63,2210,"GER"
25.21,1541,"US"
14.54,2118,"UK"
15.62,573,"UK"
11.22,1464,"UK"
5.51,1155,"GER"
27.45,1500,"US"
26.93,714,"US"
25.92,1782,"US"
27.22,1264,"US"
4.32,201,"GER"
27.04,2197,"US"
12.25,846,"UK"
5.53,1115,"GER"
25.63,46,"US"
26.55,1262,"US"
26.07,383,"US"
10.3,2019,"UK"
9.2,1104,"GER"
6.52,1612,"GER"
13.04,655,"UK"
25.44,744,"US"
11.85,399,"UK"
13.09,1653,"UK"
17.69,1828,"UK"
8.58,1205,"GER"
1.87,821,"GER"
5.59,1209,"GER"
26.01,2120,"US"
12.6,2337,"UK"
27.53,243,"US"
17.23,1251,"UK"
19.58,1075,"UK"
12.87,666,"UK"
20.68,1468,"UK"
26.77,123,"US"
26.18,2288,"US"
7.62,1723,"GER"
14.2,1532,"UK"
2.91,443,"GER"
11.37,1298,"UK"
11.67,680,"UK"
25.19,2044,"US"
27.55,558,"US"
12.91,1700,"UK"
8.85,1291,"GER"
5.46,758,"GER"
17.46,2068,"UK"
26.02,1501,"US"
18.86,892,"UK"
6.39,445,"GER"
27.34,1664,"US"
6.81,560,"GER"
25.16,2069,"US"
12.99,426,"UK"
6.67,1714,"GER"
6.34,620,"GER"
17.03,2147,"UK"
27.67,1563,"US"
16.2,2212,"UK"
7.37,547,"GER"
27.33,1725,"US"
26.35,117,"US"
25.74,397,"US"
27.12,2126,"US"
6.77,526,"GER"
26.96,597,"US"
10.51,20,"UK"
7.42,1998,"GER"
27.5,787,"US"
12.49,1513,"UK"
12.43,2333,"UK"
26.61,1882,"US"
5.37,1149,"GER"
17.22,2091,"UK"
19.16,1299,"UK"
27.27,1541,"US"
26.32,384,"US"
27.22,1899,"US"
25.3,2231,"US"
12.28,753,"UK"
26.63,1756,"US"
21.39,1458,"UK"
14.74,1239,"UK"
26.78,1817,"US"
14.73,768,"UK"
25.26,2272,"US"
27.04,1912,"US"
19.68,1401,"UK"
27.48,792,"US"
4.18,522,"GER"
26.67,2176,"US"
7.81,2011,"GER"
26.65,2219,"US"
26.36,544,"US"
4.51,1212,"GER"
24.97,1577,"US"
12.66,886,"UK"
2.89,495,"GER"
17.96,2004,"UK"
12.52,46,"UK"
6.18,1329,"GER"
26.32,273,"US"
17.6,1832,"UK"
1.93,1254,"GER"
26.72,677,"US"
26.78,2263,"US"
17.96,1770,"UK"
5.27,952,"GER"
1.66,1296,"GER"
26.36,1096,"US"
5.44,1102,"GER"
3.34,359,"GER"
27.48,1767,"US"
11.35,730,"UK"
26.15,1723,"US"
4.69,2126,"GER"
5.62,891,"GER"
26.42,2227,"US"
18.63,1776,"UK"
20.18,1458,"UK"
25.21,2274,"US"
12.1,1392,"UK"
2.95,1578,"GER"
15.25,528,"UK"
27.07,2037,"US"
26.78,782,"US"
11.86,879,"UK"
8.34,1232,"GER"
12.13,2326,"UK"
10.7,1104,"UK"
26.87,747,"US"
8.4,2016,"GER"
5.33,763,"GER"
5.84,1167,"GER"
18.7,1387,"UK"
25.51,1782,"US"
12.34,1371,"UK"
12.9,410,"UK"
2.01,1239,"GER"
26.2,287,"US"
10.14,8,"UK"
26.62,291,"US"
2.61,518,"GER"
6.91,1614,"GER"
4.24,223,"GER"
12.11,1496,"UK"
10.18,396,"UK"
25.78,1162,"US"
4.53,1278,"GER"
1.68,1029,"GER"
15.67,183,"UK"
12.66,1692,"UK"
11.59,843,"UK"
16.66,1516,"UK"
24.55,552,"US"
10.3,1120,"UK"
5.95,1366,"GER"
12.01,391,"UK"
27.39,1753,"US"
11.61,620,"UK"
6.34,1438,"GER"
6.02,1224,"GER"
25.46,1171,"US"
7.08,429,"GER"
4.5,783,"GER"
11.99,739,"UK"
27.55,1250,"US"
27.56,445,"US"
27.37,1111,"US"
26.99,1553,"US"
9.74,1044,"GER"
5.29,1355,"GER"
11.4,1396,"UK"
11.77,43,"UK"
21.87,1271,"UK"
3.56,293,"GER"
25.56,278,"US"
4.75,176,"GER"
26.1,1930,"US"
11.98,1495,"UK"
10.41,1145,"UK"
13.1,2313,"UK"
27.08,1101,"US"
17.95,1770,"UK"
25.6,1691,"US"
27.35,535,"US"
26.11,961,"US"
13.26,77,"UK"
10.81,1115,"UK"
11.31,1369,"UK"
10.61,395,"UK"
5.96,709,"GER"
24.99,380,"US"
11.83,793,"UK"
11.42,975,"UK"
1.81,772,"GER"
19.55,1076,"UK"
11.5,962,"UK"
8.2,1305,"GER"
18.31,475,"UK"
26.5,63,"US"
27.18,533,"US"
26.81,1770,"US"
25.71,1006,"US"
25.22,1074,"US"
12.06,1330,"UK"
21.61,1442,"UK"
8.25,1014,"GER"
27.09,1810,"US"
20.84,1172,"UK"
9.48,1301,"GER"
25.14,1413,"US"
3.34,360,"GER"
9.23,198,"GER"
12.73,834,"UK"
10.11,2330,"UK"
18.98,809,"UK"
26.88,269,"US"
8.97,2316,"GER"
26.95,497,"US"
16.75,242,"UK"
5.2,489,"GER"
16.91,254,"UK"
25.99,1782,"US"
12.89,1510,"UK"
7.13,2257,"GER"
11.72,1709,"UK"
8.48,2022,"GER"
7.78,1059,"GER"
21.68,1251,"UK"
26.38,2221,"US"
19.32,1153,"UK"
26.79,1378,"US"
12.45,617,"UK"
14.92,2270,"UK"
18.95,1416,"UK"
6.26,1530,"GER"
15.3,1254,"UK"
26.26,305,"US"
27,685,"US"
15.39,350,"UK"
5.36,1115,"GER"
25.7,1782,"US"
5.18,1208,"GER"
4.88,943,"GER"
10.83,1158,"UK"
5.14,1311,"GER"
9.31,1280,"GER"
17.69,340,"UK"
5.37,961,"GER"
7.93,2012,"GER"
26.73,2283,"US"
19.9,1371,"UK"
25.23,411,"US"
25.95,769,"US"
9.58,1100,"GER"
