"area_name","region","year","activities_in_life_are_worthwhile","early_years_development","feelings_of_anxiety","happiness","healthy_eating","high_blood_pressure","household_overcrowding","life_expectancy","life_satisfaction","low_level_crime","mental_health_conditions","overweight_and_obesity_in_adults","overweight_and_obesity_in_children","physical_activity","rough_sleeping","smoking","unemployment","young_ppl_edu_empl_appren"
"Hartlepool","North East England",2021,7.75,72.32876712,3.3,7.54,49.25492347,24.48630888,3.567512182,78.81,7.42,8.930474445,16.4314883,74.57660827,34.68429625,51.25073696,4.321007659,17.3,6.80749172,93.9481268
"Middlesbrough","North East England",2021,7.65,63.81679389,3.02,7.41,47.53646877,17.26114941,4.997961808,77.63,7.5,8.719963195,13.02847294,70.76404121,35.50632911,56.89418338,2.782918447,17.9,7.25302295,88.8381201
"Redcar and Cleveland","North East England",2021,7.74,70.59936909,2.73,7.46,44.09497542,18.20087052,5.40388876,79.48,7.5,7.556766841,14.12750756,68.49471714,34.58311711,61.81960867,0,13.3,5.86992867,91.5
"Stockton-on-Tees","North East England",2021,7.45,73.54784789,3.18,7.23,54.66315321,20.79853599,5.886988803,79.7,7.3,5.516186385,21.12478933,75.79037035,28.20763088,65.87336472,1.52261077,12.5,5.579293,91.68307087
"Darlington","North East England",2021,7.8,71.97664721,3.29,7.35,50.73368833,17.77126868,3.901408866,79.685,7.37,5.726150351,15.67755288,72.5304907,33.71212121,60.96587438,1.848053076,10.6,5.29948108,93.76068376
"Halton","North West England",2021,7.68,66.44908616,3.24,7.36,45.02311315,19.73774302,8.270298484,79.375,7.34,5.171124932,15.29782666,65.04049192,36.24638531,65.51675472,0,13.2,3.93981499,94.33701657
"Warrington","North West England",2021,7.78,73.74842238,3.04,7.38,54.19393006,15.97444464,4.284393995,80.62,7.43,4.952315458,11.14909895,64.17706919,27.4914202,68.00868776,4.734243255,10,3.50714216,94.9752883
"Blackburn with Darwen","North West England",2021,7.76,68.74702239,3.2,7.36,42.84771449,18.93479988,5.023087342,78.315,7.42,5.025661534,12.83840571,63.61849987,33.10451837,57.84333677,7.100347272,15.5,6.04372042,92.4796748
"Blackpool","North West England",2021,7.7,67.46776084,3.27,7.43,44.65588051,21.85207185,2.924517955,76.535,7.44,6.677217248,16.50415729,70.45797122,41.75250709,55.93209278,9.932318345,20.6,6.05647109,86.70338316
"Kingston upon Hull, City of","Yorkshire and the Humber",2021,7.42,67.883645,3.27,7.38,44.38848108,27.61606568,2.560655439,77.8,7.25,11.69315314,26.64266579,70.7091709,32.98817084,55.1999591,4.128152877,22,4.8590931,91.45841104
"East Riding of Yorkshire","Yorkshire and the Humber",2021,7.89,73.4939759,3.04,7.74,60.85186808,27.04007625,2.542749616,81.79,7.69,3.604301852,18.54715596,67.62999593,26.08679037,64.36009134,2.039965845,10.2,3.49255474,95.01084599
"North East Lincolnshire","Yorkshire and the Humber",2021,7.9,71.118177,3.49,7.54,48.93357726,19.96112084,2.80194896,80.105,7.38,8.784920057,10.808254,67.63600112,31.51017576,63.67533009,6.361444557,16.5,3.98418241,93.45579793
"North Lincolnshire","Yorkshire and the Humber",2021,7.89,71.73913043,2.82,7.57,56.2421331,21.21692382,6.068905141,80.71,7.77,5.655637113,14.77901972,67.62153569,33.36180934,58.30531414,3.530657879,12.3,3.69787825,92.72727273
"York","Yorkshire and the Humber",2021,7.81,75.69659443,3.33,7.34,58.25515631,53.63785653,9.127343986,81.76,7.65,7.241294334,49.7849713,63.59347005,27.61083744,69.29183993,1.98341862,9.2,2.87795292,95.84045584
"Derby","East Midlands",2021,7.77,70.2062173,3.15,7.39,55.03668626,18.18990265,2.997420404,79.595,7.35,7.032326898,22.49384667,65.42269953,30.2279434,59.02225181,4.212364438,13.2,5.61444329,91.53279786
"Leicester","East Midlands",2021,7.84,67.69610871,3.48,7.41,50.9061893,19.85332576,2.861751188,79.165,7.57,5.06163215,20.82533318,60.22124618,28.88515299,55.41163222,2.185684857,12.8,6.82787845,90.32841996
"Rutland","East Midlands",2021,8.12,77.80898876,3.43,7.78,64.89304775,13.92021631,3.966715374,84.07,7.76,1.507065916,11.01407727,59.52598708,24.81971154,74.03798589,4.83313598,13,3.57071449,93.76257545
"Nottingham","East Midlands",2021,7.81,66.62387677,3.16,7.2,50.13288382,15.81623909,4.455625936,78.8,7.25,10.23737904,53.04766867,66.92275483,33.00244584,64.05252577,7.197261286,16.5,6.13679004,88.44667697
"Herefordshire, County of","West Midlands",2021,7.82,75.39988969,3.19,7.44,62.74956051,28.25946609,6.038897717,81.815,7.55,2.494641428,17.3418636,66.95076728,32.77081491,71.51781521,6.398054991,11.9,3.39542465,94.07783418
"Telford and Wrekin","West Midlands",2021,7.64,71.36404697,3.19,7.31,51.07144683,38.24020377,2.777988352,80.085,7.49,5.879043911,28.79529282,70.63545525,33.06122449,60.98006014,1.614274491,13.7,3.86977319,94.24670892
"Stoke-on-Trent","West Midlands",2021,7.76,67.66685362,3.24,7.59,41.41582277,17.01228952,2.357737473,77.78,7.52,6.499832438,11.90885761,68.72946981,34.06577901,57.46955246,8.138367753,16.5,4.31798653,90.1326053
"Bath and North East Somerset","South West England",2021,7.77,73.95604396,3.38,7.43,65.83576289,12.73138284,2.55544501,82.91,7.54,4.486725709,20.12780403,56.27500971,22.3840387,70.44649726,7.275637528,9.7,2.9868284,95.01385042
"Bristol, City of","South West England",2021,7.49,71.00316397,3.38,7.25,61.8165808,20.23903647,3.433125183,80.59,7.37,8.644116549,30.15735113,55.72755031,28.46198692,73.19889221,14.43378184,16.4,3.950187,91.86851211
"North Somerset","South West England",2021,7.94,74.70093044,3.14,7.53,57.48453074,32.62945989,2.653403713,82.55,7.59,3.261061167,25.70252493,64.210384,28.36909152,71.1801373,8.739690615,12.9,2.96407709,96.36363636
"South Gloucestershire","South West England",2021,7.68,76.45801527,3,7.42,60.97290155,19.76928021,2.223009707,82.995,7.52,4.687022264,15.44389398,62.57226168,24.3220339,66.94556112,1.375818612,12.2,2.60659366,94.28123776
"Plymouth","South West England",2021,7.6,68.95622896,2.88,7.53,52.00333942,27.79120165,3.661794411,80.64,7.4,3.789391985,18.07214916,68.79930044,30.59521513,68.83845305,8.688195764,15.5,3.88704645,94.05261151
"Torbay","South West England",2021,7.7,70.53270398,3.07,7.42,61.70254685,30.83868404,3.284175942,80.53,7.39,5.638021407,23.65241638,59.4335762,30.16868445,65.20333712,12.19109906,15.4,3.91418257,94.18676562
"Swindon","South West England",2021,7.85,71.09243697,3.25,7.5,53.10919246,20.28024483,3.328655811,81.685,7.6,5.608373975,13.37554602,64.9871028,30.3674787,70.05254033,4.278752145,12.5,3.76180294,93.68131868
"Peterborough","East of England",2021,7.67,66.97490092,3.12,7.26,47.20006146,56.84518917,2.289043829,80.545,7.27,7.896321301,59.63097845,60.69873529,30.56029406,57.4389317,16.63978109,14.4,4.6997136,93.01686936
"Luton","East of England",2021,7.91,68.32620648,2.75,7.74,48.7781475,19.36520169,7.418047494,80.235,7.67,5.277996328,10.34445535,67.51032445,32.49306434,56.78528204,3.113518899,14.1,6.04237626,93.97240378
"Southend-on-Sea","East of England",2021,7.84,73.81170018,3.15,7.52,54.61575337,16.73843565,4.046524968,80.575,7.55,5.427497497,11.05367769,68.83133465,27.91041522,65.44150638,5.537067901,12.9,4.61867242,93.21125502
