"Participant.ID","Country.name","Gender","Age","relationship_status","Freedom.of.Choice","Satisfaction.with.life"
364071001,"Iran, Islamic Republic of",0,32,"single",10,5
364071003,"Iran, Islamic Republic of",0,62,"married",5,3
364071004,"Iran, Islamic Republic of",1,34,"married",2,8
364071005,"Iran, Islamic Republic of",1,18,"single",6,6
364071006,"Iran, Islamic Republic of",0,45,"married",1,5
364071007,"Iran, Islamic Republic of",0,38,"married",5,5
364071008,"Iran, Islamic Republic of",0,18,"single",6,10
364071009,"Iran, Islamic Republic of",0,48,"married",8,6
364071011,"Iran, Islamic Republic of",1,19,"single",5,5
364071012,"Iran, Islamic Republic of",0,38,"married",8,6
364071013,"Iran, Islamic Republic of",1,51,"married",4,6
364071014,"Iran, Islamic Republic of",1,31,"single",7,5
364071015,"Iran, Islamic Republic of",1,47,"married",5,5
364071017,"Iran, Islamic Republic of",0,69,"married",10,10
364071018,"Iran, Islamic Republic of",0,19,"single",4,7
364071019,"Iran, Islamic Republic of",0,41,"married",10,8
364071020,"Iran, Islamic Republic of",0,40,"married",8,8
364071022,"Iran, Islamic Republic of",0,58,"married",5,6
364071023,"Iran, Islamic Republic of",1,55,"married",5,5
364071024,"Iran, Islamic Republic of",0,47,"married",10,10
364071025,"Iran, Islamic Republic of",1,24,"married",8,5
364071026,"Iran, Islamic Republic of",1,70,"married",10,10
364071027,"Iran, Islamic Republic of",1,46,"married",10,5
364071028,"Iran, Islamic Republic of",0,19,"single",1,10
364071029,"Iran, Islamic Republic of",0,25,"single",10,1
364071030,"Iran, Islamic Republic of",1,46,"married",5,3
364071031,"Iran, Islamic Republic of",0,43,"married",1,1
364071032,"Iran, Islamic Republic of",0,41,"married",1,1
364071033,"Iran, Islamic Republic of",0,68,"married",6,2
364071034,"Iran, Islamic Republic of",0,18,"single",10,9
364071036,"Iran, Islamic Republic of",1,51,"married",6,5
364071037,"Iran, Islamic Republic of",0,46,"married",2,1
364071038,"Iran, Islamic Republic of",0,70,"married",10,10
364071039,"Iran, Islamic Republic of",0,67,"married",10,8
364071040,"Iran, Islamic Republic of",1,46,"married",10,5
364071041,"Iran, Islamic Republic of",1,19,"single",6,8
364071042,"Iran, Islamic Republic of",1,40,"married",5,2
