"id","start","end"
1,"12/05/2016 20:46","12/05/2016 20:49"
2,"19/05/2016 22:08","19/05/2016 22:25"
3,"20/05/2016 07:05","20/05/2016 07:14"
4,"13/05/2016 08:59","13/05/2016 09:05"
5,"13/05/2016 11:25","13/05/2016 11:29"
6,"13/05/2016 11:31","13/05/2016 11:37"
7,"20/05/2016 11:29","20/05/2016 11:45"
8,"20/05/2016 14:07","20/05/2016 14:21"
9,"20/05/2016 14:55","20/05/2016 15:01"
10,"20/05/2016 16:12","20/05/2016 16:25"
11,"20/05/2016 18:41","20/05/2016 18:58"
12,"20/05/2016 19:37","20/05/2016 19:51"
13,"20/05/2016 20:37","20/05/2016 20:55"
14,"21/05/2016 10:48","21/05/2016 10:59"
15,"21/05/2016 11:02","21/05/2016 11:17"
16,"14/05/2016 11:16","14/05/2016 11:23"
17,"14/05/2016 11:29","14/05/2016 11:32"
18,"14/05/2016 11:23","14/05/2016 11:41"
19,"14/05/2016 11:59","14/05/2016 12:07"
20,"14/05/2016 12:07","14/05/2016 12:15"
21,"14/05/2016 12:10","14/05/2016 12:31"
22,"14/05/2016 13:19","14/05/2016 13:33"
23,"14/05/2016 13:17","14/05/2016 13:35"
24,"11/05/2016 08:20","11/05/2016 08:29"
25,"11/05/2016 08:47","11/05/2016 09:01"
26,"11/05/2016 08:54","11/05/2016 09:10"
27,"11/05/2016 10:56","11/05/2016 11:08"
28,"11/05/2016 14:11","11/05/2016 14:29"
29,"11/05/2016 14:26","11/05/2016 14:36"
30,"11/05/2016 15:19","11/05/2016 15:29"
31,"11/05/2016 18:22","11/05/2016 18:25"
32,"12/05/2016 10:25","12/05/2016 10:40"
33,"12/05/2016 13:45","12/05/2016 14:02"
34,"12/05/2016 16:24","12/05/2016 16:54"
35,"12/05/2016 20:47","12/05/2016 21:00"
36,"13/05/2016 19:49","13/05/2016 20:02"
37,"14/05/2016 09:43","14/05/2016 09:52"
38,"14/05/2016 09:41","14/05/2016 09:54"
39,"14/05/2016 10:01","14/05/2016 10:06"
40,"14/05/2016 09:55","14/05/2016 10:17"
41,"14/05/2016 10:09","14/05/2016 10:30"
42,"14/05/2016 10:36","14/05/2016 10:40"
43,"14/05/2016 11:11","14/05/2016 11:19"
44,"14/05/2016 11:35","14/05/2016 11:43"
45,"14/05/2016 12:20","14/05/2016 12:26"
46,"14/05/2016 13:07","14/05/2016 13:11"
47,"14/05/2016 13:09","14/05/2016 13:21"
48,"14/05/2016 13:43","14/05/2016 13:56"
49,"14/05/2016 14:15","14/05/2016 14:31"
50,"14/05/2016 14:43","14/05/2016 15:00"
51,"14/05/2016 14:35","14/05/2016 15:12"
52,"14/05/2016 16:50","14/05/2016 17:02"
53,"14/05/2016 16:54","14/05/2016 17:06"
54,"14/05/2016 16:59","14/05/2016 17:14"
55,"14/05/2016 18:28","14/05/2016 18:34"
56,"14/05/2016 18:45","14/05/2016 18:49"
57,"14/05/2016 18:59","14/05/2016 19:04"
58,"14/05/2016 19:18","14/05/2016 19:23"
59,"14/05/2016 19:13","14/05/2016 19:33"
60,"15/05/2016 08:29","15/05/2016 08:32"
61,"15/05/2016 09:29","15/05/2016 09:56"
62,"15/05/2016 10:23","15/05/2016 11:05"
63,"15/05/2016 10:53","15/05/2016 11:08"
64,"15/05/2016 11:56","15/05/2016 12:17"
65,"15/05/2016 12:23","15/05/2016 12:43"
66,"15/05/2016 12:54","15/05/2016 13:02"
67,"15/05/2016 13:34","15/05/2016 13:44"
68,"15/05/2016 15:31","15/05/2016 15:47"
69,"16/05/2016 08:38","16/05/2016 08:44"
70,"16/05/2016 08:45","16/05/2016 08:51"
71,"16/05/2016 08:49","16/05/2016 08:57"
72,"16/05/2016 09:12","16/05/2016 09:17"
73,"16/05/2016 09:23","16/05/2016 09:34"
74,"16/05/2016 09:46","16/05/2016 10:09"
75,"16/05/2016 11:44","16/05/2016 11:51"
76,"16/05/2016 12:11","16/05/2016 12:23"
77,"16/05/2016 16:18","16/05/2016 16:26"
78,"17/05/2016 18:16","17/05/2016 18:20"
79,"17/05/2016 19:49","17/05/2016 20:06"
80,"17/05/2016 21:20","17/05/2016 21:37"
81,"17/05/2016 21:36","17/05/2016 21:45"
82,"17/05/2016 21:41","17/05/2016 21:50"
83,"17/05/2016 21:44","17/05/2016 21:57"
84,"17/05/2016 21:41","17/05/2016 21:57"
