"gender","degree_level","min_reading"
"male","PGT",194
"female","PGR",466
"male","PGT",175
"female","UG",388
"male","UG",341
"non-binary","UG",435
"female","UG",245
"female","PGR",551
"non-binary","PGR",532
"male","PGR",502
"female","UG",336
"non-binary","PGR",550
"female","PGT",286
"male","UG",436
"female","UG",369
"male","PGT",145
"female","UG",432
"non-binary","PGR",458
"female","UG",385
"female","UG",318
"female","PGR",456
"male","UG",351
"male","UG",448
"female","PGR",531
"male","PGT",150
"male","UG",344
"non-binary","PGR",559
"male","UG",371
"male","UG",302
"female","PGT",278
"female","UG",249
"female","PGR",449
"female","PGR",591
"female","PGR",530
"male","PGR",521
"non-binary","UG",432
"non-binary","PGT",289
"male","UG",237
"male","PGR",513
"male","PGT",141
"non-binary","UG",317
"female","PGR",502
"female","UG",375
"female","UG",405
"female","UG",292
"female","PGR",489
"male","PGR",491
"female","PGR",563
"male","UG",374
"non-binary","PGT",184
"male","UG",341
"female","PGT",235
"male","UG",332
"female","PGR",443
"female","UG",369
"non-binary","UG",304
"male","PGT",128
"male","PGT",189
"female","UG",330
"male","UG",369
"male","UG",415
"male","UG",342
"male","PGR",461
"male","PGR",414
"male","UG",341
"female","PGR",495
"male","PGT",215
"non-binary","PGR",503
"female","PGT",264
"male","UG",340
"male","UG",443
"male","UG",349
"female","PGR",520
"female","UG",383
"male","UG",486
"non-binary","UG",251
"female","PGR",454
"female","PGT",226
"female","PGR",355
"male","UG",238
"male","PGT",245
"male","PGR",397
"female","UG",325
"male","UG",310
"male","PGT",177
"female","UG",370
"non-binary","PGR",500
"male","PGR",506
"female","UG",206
"female","PGR",416
"male","PGT",157
"female","PGT",178
"female","UG",324
"male","PGR",457
"male","PGT",102
"male","PGT",176
"female","PGR",426
"female","PGR",548
"male","UG",299
"male","UG",382
"female","UG",365
"non-binary","PGT",264
"female","UG",313
"male","PGT",252
"male","PGT",254
"male","PGT",149
"female","UG",295
"female","UG",359
"female","PGR",496
"non-binary","UG",280
"male","UG",352
"female","UG",369
"male","PGR",428
"female","UG",341
"female","PGR",468
"female","UG",317
"male","UG",364
"female","PGT",210
"male","PGR",521
"male","UG",414
"male","PGR",466
"female","PGR",514
"male","UG",280
"male","UG",294
"male","UG",415
"female","UG",335
"female","UG",313
"female","PGT",174
"male","UG",351
"female","PGR",527
"male","UG",322
"female","PGR",498
"female","UG",264
"female","UG",361
"female","PGT",239
"male","PGT",247
"female","PGR",355
"male","PGT",313
"female","PGR",429
"female","UG",290
"female","PGR",478
"female","PGR",522
"male","PGR",475
"male","PGT",205
"female","UG",338
"male","UG",326
"female","UG",373
"male","UG",360
"male","PGT",267
"female","PGT",166
"male","PGR",604
"male","UG",358
"male","UG",266
"male","PGT",298
"female","PGR",455
"non-binary","UG",352
"male","UG",347
"male","PGR",422
"female","PGR",463
"male","PGR",504
"male","UG",374
"male","PGR",358
"male","UG",302
"non-binary","PGT",225
"male","UG",490
"female","UG",397
"female","UG",368
"male","UG",270
"male","UG",279
"female","PGT",225
"male","UG",334
"female","PGR",537
"male","PGR",429
"female","UG",326
"male","UG",511
"male","PGT",252
"female","UG",314
"female","UG",375
"female","UG",395
"non-binary","UG",353
"male","UG",445
"male","UG",404
"male","UG",286
"female","UG",281
"male","UG",378
"female","UG",331
"male","PGR",521
"female","PGR",511
"male","PGT",149
"female","UG",330
"female","UG",329
"male","PGR",522
"male","UG",288
"male","PGT",248
"female","UG",360
"male","PGR",503
"female","UG",262
"male","PGR",550
"male","UG",298
"male","UG",367
"male","PGR",494
"male","UG",324
"female","UG",310
"male","UG",311
"non-binary","UG",433
"male","UG",343
"female","PGR",520
"male","UG",340
"male","UG",388
"female","PGT",207
"male","UG",237
"female","PGR",494
"male","PGR",459
"female","UG",295
"female","UG",237
"female","PGR",516
"female","PGT",211
"female","PGR",597
"male","PGR",601
"female","PGR",465
"female","PGR",495
"male","PGR",436
"female","UG",433
"female","PGR",516
"female","UG",384
"male","PGT",145
"female","PGR",539
"non-binary","PGT",142
"female","UG",337
"male","UG",292
"male","UG",341
"female","UG",291
"female","UG",305
"male","PGR",569
"male","PGR",495
"male","PGT",205
"female","PGT",246
"male","UG",270
"female","PGT",169
"male","PGT",158
"male","PGR",498
"female","PGT",194
"female","PGT",181
"female","PGR",474
"male","PGR",478
"female","UG",339
"female","PGT",248
"male","PGR",435
"male","UG",245
"male","UG",386
"male","PGT",245
"non-binary","PGT",143
"female","UG",395
"female","UG",408
"female","PGT",301
"female","PGT",219
"female","PGR",535
"non-binary","PGT",213
"male","UG",296
"male","PGT",97
"female","PGR",447
"male","UG",372
"male","PGR",411
"male","UG",373
"male","PGT",265
"male","PGR",509
"male","UG",438
"non-binary","UG",422
"female","UG",358
"female","UG",348
"non-binary","UG",326
"male","PGR",528
"female","PGT",261
"male","UG",381
"non-binary","UG",354
"female","UG",416
"male","PGR",508
"female","UG",346
"female","PGT",263
"female","UG",414
"female","PGR",365
"male","PGR",481
"male","UG",387
"male","PGR",495
"female","PGR",499
"male","PGT",218
"male","PGR",449
"male","UG",441
"female","UG",393
"non-binary","UG",359
"male","PGR",418
"male","PGT",267
"non-binary","UG",321
"female","PGR",471
"non-binary","UG",413
"male","PGT",54
"female","PGT",184
"female","PGR",401
"female","UG",261
"male","PGT",198
"male","UG",335
"male","UG",302
"male","UG",300
"female","UG",392
"male","UG",341
"male","UG",309
"female","UG",333
"non-binary","UG",331
"female","PGR",486
"female","UG",359
"male","UG",336
"female","PGR",469
"female","UG",290
