"performance","happiness","group"
0.079,-0.254,"Teacher"
0.049,-0.354,"Teacher"
0.176,-0.136,"Teacher"
0.251,-0.166,"Teacher"
0.062,-0.153,"Teacher"
0.085,-0.245,"Teacher"
0.202,0.035,"Teacher"
0.037,-0.372,"Teacher"
0.197,-0.155,"Teacher"
0.113,-0.124,"Teacher"
0.162,-0.187,"Teacher"
0.111,-0.08,"Teacher"
0.162,-0.134,"Teacher"
0.353,-0.086,"Teacher"
0.329,-0.054,"Teacher"
0.118,-0.278,"Teacher"
-0.02,-0.29,"Teacher"
0.048,-0.16,"Teacher"
0.073,-0.225,"Teacher"
0.197,-0.185,"Teacher"
0.091,-0.215,"Teacher"
0.283,0.003,"Teacher"
0.177,-0.231,"Teacher"
0.081,-0.155,"Teacher"
0.255,-0.132,"Teacher"
0.301,-0.116,"Teacher"
0.181,-0.052,"Teacher"
0.203,-0.034,"Teacher"
0.157,-0.11,"Teacher"
0.258,-0.09,"Teacher"
0.116,-0.163,"Teacher"
0.1,-0.219,"Teacher"
0.098,-0.159,"Teacher"
-0.132,-0.401,"Teacher"
0.025,-0.202,"Teacher"
0.079,-0.125,"Teacher"
0.287,-0.117,"Teacher"
0.311,-0.156,"Teacher"
0.098,-0.042,"Teacher"
0.06,-0.19,"Teacher"
0.113,-0.179,"Teacher"
0.194,-0.123,"Teacher"
0.361,-0.034,"Teacher"
0.214,-0.161,"Teacher"
0.24,-0.003,"Teacher"
0.226,0.034,"Teacher"
0.072,-0.182,"Teacher"
0.103,-0.169,"Teacher"
0.323,0.041,"Teacher"
0.318,-0.007,"Teacher"
0.17,-0.125,"Teacher"
0.145,-0.208,"Teacher"
0.192,-0.197,"Teacher"
0.116,-0.137,"Teacher"
0.211,-0.064,"Teacher"
0.352,0.052,"Teacher"
0.016,-0.172,"Teacher"
0.088,-0.281,"Teacher"
0.082,-0.174,"Teacher"
-0.051,-0.367,"Teacher"
0.173,-0.145,"Teacher"
0.174,-0.003,"Teacher"
-0.018,-0.085,"Teacher"
0.068,-0.306,"Teacher"
0.049,-0.152,"Teacher"
0.123,-0.206,"Teacher"
0.157,-0.064,"Teacher"
0.266,-0.099,"Teacher"
0.336,-0.11,"Teacher"
0.236,0.018,"Teacher"
0.138,-0.291,"Teacher"
0.298,0.04,"Teacher"
0.233,-0.057,"Teacher"
-0.003,-0.181,"Teacher"
0.03,-0.192,"Teacher"
0.14,-0.082,"Teacher"
0.062,-0.172,"Teacher"
0.13,-0.295,"Teacher"
0.1,-0.231,"Teacher"
0.172,-0.072,"Teacher"
0.14,-0.197,"Teacher"
0.22,-0.068,"Teacher"
0.136,-0.223,"Teacher"
0.1,-0.21,"Teacher"
0.208,-0.113,"Teacher"
-0.013,-0.289,"Teacher"
0.169,0.004,"Teacher"
-0.01,-0.131,"Teacher"
0.122,-0.11,"Teacher"
0.25,-0.068,"Teacher"
0.163,-0.142,"Teacher"
0.269,-0.102,"Teacher"
0.108,-0.249,"Teacher"
0.024,-0.112,"Teacher"
0.22,-0.28,"Teacher"
