"salary","work_experience","mindfulness"
119,52,22
125,49,42
139,53,43
143,58,34
107,49,47
117,49,58
165,58,88
140,54,53
128,48,55
168,53,49
107,48,12
131,48,49
138,51,51
137,40,99
103,41,46
130,47,56
107,45,49
114,52,27
122,45,73
119,43,65
171,57,66
95,49,32
147,50,78
81,43,22
121,47,62
159,51,94
104,44,30
112,52,39
113,47,52
124,49,40
96,47,19
146,59,51
115,50,29
113,45,59
145,54,32
135,44,81
99,51,34
104,40,44
113,43,66
123,51,25
127,54,55
139,51,76
113,49,18
132,48,54
101,43,55
122,46,66
103,48,25
116,55,24
151,52,60
114,41,56
118,52,55
134,48,57
133,47,36
144,53,55
123,55,56
122,55,36
148,46,87
120,48,59
121,52,26
149,55,63
101,48,31
130,49,66
93,44,73
95,44,34
140,54,69
130,57,58
149,50,66
140,55,88
122,52,45
112,47,35
134,52,32
118,58,34
136,50,48
144,58,57
92,37,56
146,54,67
128,50,50
131,49,79
124,50,45
128,40,104
130,49,63
127,52,33
145,57,29
112,47,60
136,46,46
108,47,64
137,55,59
133,52,49
114,47,33
109,53,20
119,50,41
138,55,67
114,46,54
118,48,25
126,48,53
107,43,58
128,51,32
132,51,53
134,50,51
118,49,27
