"Participant ID","Country name","Gender","Age","relationship_status","Freedom.of.Choice","Satisfaction-with-life"
68070001,"Bolivia, Plurinational State of",0,60,"married",7,5
68070002,"Bolivia, Plurinational State of",0,40,"married",8,7
68070003,"Bolivia, Plurinational State of",0,25,"single",10,8
68070004,"Bolivia, Plurinational State of",1,71,"widowed",5,5
68070005,"Bolivia, Plurinational State of",1,38,"married",5,7
68070006,"Bolivia, Plurinational State of",1,20,"separated",5,3
68070007,"Bolivia, Plurinational State of",0,39,"single",5,3
68070008,"Bolivia, Plurinational State of",1,19,"single",10,8
68070009,"Bolivia, Plurinational State of",0,20,"single",6,7
68070010,"Bolivia, Plurinational State of",1,37,"married",9,8
68070011,"Bolivia, Plurinational State of",1,42,"living together as married",5,9
68070012,"Bolivia, Plurinational State of",1,73,"widowed",8,6
68070013,"Bolivia, Plurinational State of",1,32,"single",8,7
68070014,"Bolivia, Plurinational State of",0,54,"living together as married",7,7
68070015,"Bolivia, Plurinational State of",1,26,"living together as married",5,4
68070016,"Bolivia, Plurinational State of",1,26,"married",10,8
68070017,"Bolivia, Plurinational State of",1,56,"married",NA,5
68070018,"Bolivia, Plurinational State of",1,22,"living together as married",6,10
68070019,"Bolivia, Plurinational State of",0,40,"married",5,10
68070020,"Bolivia, Plurinational State of",1,50,"divorced",9,9
68070021,"Bolivia, Plurinational State of",0,80,"married",8,8
68070022,"Bolivia, Plurinational State of",1,25,"single",6,6
68070023,"Bolivia, Plurinational State of",0,85,"married",10,2
68070024,"Bolivia, Plurinational State of",1,36,"living together as married",10,8
68070025,"Bolivia, Plurinational State of",0,23,"single",10,10
68070026,"Bolivia, Plurinational State of",0,35,"married",10,10
68070027,"Bolivia, Plurinational State of",1,18,"single",10,8
68070028,"Bolivia, Plurinational State of",0,51,"married",7,8
68070029,"Bolivia, Plurinational State of",0,29,"single",8,8
68070030,"Bolivia, Plurinational State of",0,25,"single",8,8
68070031,"Bolivia, Plurinational State of",1,30,"living together as married",5,9
68070032,"Bolivia, Plurinational State of",0,27,"living together as married",8,9
68070033,"Bolivia, Plurinational State of",0,39,"living together as married",3,7
68070034,"Bolivia, Plurinational State of",0,19,"single",7,10
68070035,"Bolivia, Plurinational State of",0,42,"married",9,8
68070036,"Bolivia, Plurinational State of",1,41,"married",10,8
68070037,"Bolivia, Plurinational State of",1,47,"married",5,4
68070038,"Bolivia, Plurinational State of",1,65,"married",10,5
68070039,"Bolivia, Plurinational State of",0,37,"married",5,8
68070040,"Bolivia, Plurinational State of",0,60,"married",7,8
68070041,"Bolivia, Plurinational State of",1,37,"living together as married",10,1
68070042,"Bolivia, Plurinational State of",1,22,"single",1,4
68070043,"Bolivia, Plurinational State of",0,43,"married",7,9
68070044,"Bolivia, Plurinational State of",0,71,"married",8,5
68070045,"Bolivia, Plurinational State of",1,30,"single",8,8
68070046,"Bolivia, Plurinational State of",1,18,"single",3,6
68070047,"Bolivia, Plurinational State of",0,46,"married",5,5
68070048,"Bolivia, Plurinational State of",0,27,"single",10,10
68070049,"Bolivia, Plurinational State of",1,39,"married",8,9
68070050,"Bolivia, Plurinational State of",1,67,"widowed",5,5
68070051,"Bolivia, Plurinational State of",1,35,"single",5,7
68070052,"Bolivia, Plurinational State of",0,34,"married",8,5
68070053,"Bolivia, Plurinational State of",0,19,"single",7,8
68070054,"Bolivia, Plurinational State of",0,38,"single",9,7
68070055,"Bolivia, Plurinational State of",1,27,"married",8,8
68070056,"Bolivia, Plurinational State of",1,71,"divorced",9,7
68070057,"Bolivia, Plurinational State of",1,44,"married",10,10
68070058,"Bolivia, Plurinational State of",0,20,"single",8,8
68070059,"Bolivia, Plurinational State of",1,24,"living together as married",NA,10
68070060,"Bolivia, Plurinational State of",0,56,"married",5,6
68070061,"Bolivia, Plurinational State of",0,21,"living together as married",10,8
68070062,"Bolivia, Plurinational State of",1,20,"single",8,8
68070063,"Bolivia, Plurinational State of",0,20,"single",8,7
68070064,"Bolivia, Plurinational State of",0,58,"married",5,7
68070065,"Bolivia, Plurinational State of",1,29,"married",10,10
68070066,"Bolivia, Plurinational State of",0,22,"married",10,10
68070067,"Bolivia, Plurinational State of",1,18,"single",6,8
68070068,"Bolivia, Plurinational State of",0,51,"married",10,10
68070069,"Bolivia, Plurinational State of",1,25,"single",10,10
68070070,"Bolivia, Plurinational State of",1,20,"single",8,10
68070071,"Bolivia, Plurinational State of",0,37,"married",5,4
68070072,"Bolivia, Plurinational State of",0,23,"married",6,5
68070073,"Bolivia, Plurinational State of",1,40,"married",5,5
68070074,"Bolivia, Plurinational State of",0,69,"married",6,5
68070075,"Bolivia, Plurinational State of",1,21,"living together as married",6,10
68070076,"Bolivia, Plurinational State of",0,22,"living together as married",10,9
68070077,"Bolivia, Plurinational State of",0,24,"living together as married",8,7
68070078,"Bolivia, Plurinational State of",0,28,"married",9,7
68070079,"Bolivia, Plurinational State of",1,35,"married",6,7
68070080,"Bolivia, Plurinational State of",1,26,"married",7,5
68070081,"Bolivia, Plurinational State of",1,35,"living together as married",7,8
68070082,"Bolivia, Plurinational State of",1,18,"single",9,9
68070083,"Bolivia, Plurinational State of",0,20,"single",9,9
68070084,"Bolivia, Plurinational State of",1,75,"widowed",10,5
68070085,"Bolivia, Plurinational State of",0,49,"living together as married",10,10
68070086,"Bolivia, Plurinational State of",1,58,"married",1,10
68070087,"Bolivia, Plurinational State of",1,32,"married",5,9
68070088,"Bolivia, Plurinational State of",1,34,"single",6,5
68070089,"Bolivia, Plurinational State of",1,45,"married",6,3
68070090,"Bolivia, Plurinational State of",0,26,"single",8,9
68070091,"Bolivia, Plurinational State of",0,34,"married",9,8
68070092,"Bolivia, Plurinational State of",0,57,"separated",8,6
68070093,"Bolivia, Plurinational State of",0,26,"single",8,7
68070094,"Bolivia, Plurinational State of",0,40,"separated",8,5
68070095,"Bolivia, Plurinational State of",1,55,"widowed",8,9
68070096,"Bolivia, Plurinational State of",1,33,"separated",10,3
68070097,"Bolivia, Plurinational State of",1,46,"married",10,8
68070098,"Bolivia, Plurinational State of",1,67,"widowed",5,6
68070099,"Bolivia, Plurinational State of",0,60,"married",5,7
68070100,"Bolivia, Plurinational State of",0,55,"married",8,7
68070101,"Bolivia, Plurinational State of",0,36,"living together as married",8,7
68070102,"Bolivia, Plurinational State of",0,67,"married",5,6
68070103,"Bolivia, Plurinational State of",0,33,"living together as married",9,7
68070104,"Bolivia, Plurinational State of",0,35,"married",7,6
68070105,"Bolivia, Plurinational State of",1,59,"living together as married",10,5
68070106,"Bolivia, Plurinational State of",1,27,"living together as married",6,5
68070107,"Bolivia, Plurinational State of",0,18,"single",8,10
68070108,"Bolivia, Plurinational State of",1,28,"single",8,5
68070109,"Bolivia, Plurinational State of",0,19,"single",8,8
68070110,"Bolivia, Plurinational State of",1,25,"living together as married",5,8
68070111,"Bolivia, Plurinational State of",0,26,"single",4,7
68070112,"Bolivia, Plurinational State of",0,54,"married",5,6
68070113,"Bolivia, Plurinational State of",0,32,"single",10,5
68070114,"Bolivia, Plurinational State of",1,21,"living together as married",8,9
68070115,"Bolivia, Plurinational State of",1,65,"married",10,10
68070116,"Bolivia, Plurinational State of",0,22,"single",9,8
68070117,"Bolivia, Plurinational State of",1,22,"single",3,5
68070118,"Bolivia, Plurinational State of",0,47,"married",6,6
68070119,"Bolivia, Plurinational State of",1,19,"single",5,10
68070120,"Bolivia, Plurinational State of",0,22,"single",8,7
68070121,"Bolivia, Plurinational State of",1,32,"married",9,8
68070122,"Bolivia, Plurinational State of",1,20,"living together as married",4,7
68070123,"Bolivia, Plurinational State of",1,30,"married",9,8
68070124,"Bolivia, Plurinational State of",0,18,"single",9,10
68070125,"Bolivia, Plurinational State of",0,36,"married",7,5
