"country","gender","age","relationship_status","freedom_of_choice","satisfaction"
"Bolivia","male",60,"married",7,5
"Bolivia","male",40,"married",8,7
"Bolivia","male",25,"single",10,8
"Bolivia","female",71,"widowed",5,5
"Bolivia","female",38,"married",5,7
"Bolivia","female",20,"separated",5,3
"Bolivia","male",39,"single",5,3
"Bolivia","female",19,"single",10,8
"Bolivia","male",20,"single",6,7
"Bolivia","female",37,"married",9,8
"Bolivia","female",42,"living together as married",5,9
"Bolivia","female",73,"widowed",8,6
"Bolivia","female",32,"single",8,7
"Bolivia","male",54,"living together as married",7,7
"Bolivia","female",26,"living together as married",5,4
"Bolivia","female",26,"married",10,8
"Bolivia","female",56,"married",7,5
"Bolivia","female",22,"living together as married",6,10
"Bolivia","male",40,"married",5,10
"Bolivia","female",50,"divorced",9,9
"Bolivia","male",80,"married",8,8
"Bolivia","female",25,"single",6,6
"Bolivia","male",85,"married",10,2
"Bolivia","female",36,"living together as married",10,8
"Bolivia","male",23,"single",10,10
"Bolivia","male",35,"married",10,10
"Bolivia","female",18,"single",10,8
"Bolivia","male",51,"married",7,8
"Bolivia","male",29,"single",8,8
"Bolivia","male",25,"single",8,8
"Bolivia","female",30,"living together as married",5,9
"Bolivia","male",27,"living together as married",8,9
"Bolivia","male",39,"living together as married",3,7
"Bolivia","male",19,"single",7,10
"Bolivia","male",42,"married",9,8
"Bolivia","female",41,"married",10,8
"Bolivia","female",47,"married",5,4
"Bolivia","female",65,"married",10,5
"Bolivia","male",37,"married",5,8
"Bolivia","male",60,"married",7,8
"Bolivia","female",37,"living together as married",10,1
"Bolivia","female",22,"single",1,4
"Bolivia","male",43,"married",7,9
"Bolivia","male",71,"married",8,5
"Bolivia","female",30,"single",8,8
"Bolivia","female",18,"single",3,6
"Bolivia","male",46,"married",5,5
"Bolivia","male",27,"single",10,10
"Bolivia","female",39,"married",8,9
"Bolivia","female",67,"widowed",5,5
"Bolivia","female",35,"single",5,7
"Bolivia","male",34,"married",8,5
"Bolivia","male",19,"single",7,8
"Bolivia","male",38,"single",9,7
"Bolivia","female",27,"married",8,8
"Bolivia","female",71,"divorced",9,7
"Bolivia","female",44,"married",10,10
"Bolivia","male",20,"single",8,8
"Bolivia","female",24,"living together as married",10,10
"Bolivia","male",56,"married",5,6
"Bolivia","male",21,"living together as married",10,8
"Bolivia","female",20,"single",8,8
"Bolivia","male",20,"single",8,7
"Bolivia","male",58,"married",5,7
"Bolivia","female",29,"married",10,10
"Bolivia","male",22,"married",10,10
"Bolivia","female",18,"single",6,8
"Bolivia","male",51,"married",10,10
"Bolivia","female",25,"single",10,10
"Bolivia","female",20,"single",8,10
"Bolivia","male",37,"married",5,4
"Bolivia","male",23,"married",6,5
"Bolivia","female",40,"married",5,5
"Bolivia","male",69,"married",6,5
"Bolivia","female",21,"living together as married",6,10
"Bolivia","male",22,"living together as married",10,9
"Bolivia","male",24,"living together as married",8,7
"Bolivia","male",28,"married",9,7
"Bolivia","female",35,"married",6,7
"Bolivia","female",26,"married",7,5
"Bolivia","female",35,"living together as married",7,8
"Bolivia","female",18,"single",9,9
"Bolivia","male",20,"single",9,9
"Bolivia","female",75,"widowed",10,5
"Bolivia","male",49,"living together as married",10,10
"Bolivia","female",58,"married",1,10
"Bolivia","female",32,"married",5,9
"Bolivia","female",34,"single",6,5
"Bolivia","female",45,"married",6,3
"Bolivia","male",26,"single",8,9
"Bolivia","male",34,"married",9,8
"Bolivia","male",57,"separated",8,6
"Bolivia","male",26,"single",8,7
"Bolivia","male",40,"separated",8,5
"Bolivia","female",55,"widowed",8,9
"Bolivia","female",33,"separated",10,3
"Bolivia","female",46,"married",10,8
"Bolivia","female",67,"widowed",5,6
"Bolivia","male",60,"married",5,7
"Bolivia","male",55,"married",8,7
"Bolivia","male",36,"living together as married",8,7
"Bolivia","male",67,"married",5,6
"Bolivia","male",33,"living together as married",9,7
"Bolivia","male",35,"married",7,6
"Bolivia","female",59,"living together as married",10,5
"Bolivia","female",27,"living together as married",6,5
"Bolivia","male",18,"single",8,10
"Bolivia","female",28,"single",8,5
"Bolivia","male",19,"single",8,8
"Bolivia","female",25,"living together as married",5,8
"Bolivia","male",26,"single",4,7
"Bolivia","male",54,"married",5,6
"Bolivia","male",32,"single",10,5
"Bolivia","female",21,"living together as married",8,9
"Bolivia","female",65,"married",10,10
"Bolivia","male",22,"single",9,8
"Bolivia","female",22,"single",3,5
"Bolivia","male",47,"married",6,6
"Bolivia","female",19,"single",5,10
"Bolivia","male",22,"single",8,7
"Bolivia","female",32,"married",9,8
"Bolivia","female",20,"living together as married",4,7
"Bolivia","female",30,"married",9,8
"Bolivia","male",18,"single",9,10
"Bolivia","male",36,"married",7,5
"Bolivia","female",21,"living together as married",10,9
"Bolivia","female",44,"single",6,5
"Bolivia","female",40,"married",8,8
"Bolivia","female",49,"married",5,4
"Bolivia","male",48,"single",8,6
"Bolivia","female",43,"married",8,9
"Bolivia","female",21,"single",6,8
"Bolivia","female",48,"widowed",8,9
"Bolivia","female",49,"married",7,5
"Bolivia","male",70,"married",7,8
"Bolivia","female",26,"married",6,8
"Bolivia","male",30,"living together as married",8,9
"Bolivia","male",27,"living together as married",7,9
"Bolivia","male",40,"married",6,8
"Bolivia","male",37,"married",8,8
"Bolivia","female",37,"living together as married",9,8
"Bolivia","female",22,"living together as married",5,4
"Bolivia","male",24,"single",7,8
"Bolivia","female",37,"married",7,8
"Bolivia","male",38,"living together as married",6,8
"Bolivia","female",43,"widowed",5,5
"Bolivia","female",32,"living together as married",9,9
"Bolivia","male",22,"single",9,5
"Bolivia","male",18,"single",7,9
"Bolivia","male",58,"married",8,8
"Bolivia","female",32,"living together as married",10,6
"Bolivia","male",37,"living together as married",10,8
"Bolivia","male",21,"single",8,8
"Bolivia","female",56,"separated",10,4
"Bolivia","male",45,"living together as married",6,7
"Bolivia","male",32,"living together as married",9,9
"Bolivia","female",27,"single",3,6
"Bolivia","female",18,"single",6,8
"Bolivia","female",56,"married",9,10
"Bolivia","male",48,"living together as married",6,9
"Bolivia","male",62,"married",10,10
"Bolivia","female",18,"living together as married",9,9
"Bolivia","male",47,"married",7,7
"Bolivia","female",30,"living together as married",9,8
"Bolivia","female",71,"living together as married",4,4
"Bolivia","female",60,"single",8,8
"Bolivia","female",53,"divorced",5,5
"Bolivia","male",56,"widowed",7,10
"Bolivia","female",40,"separated",9,7
"Bolivia","female",55,"separated",8,9
"Bolivia","female",37,"married",10,10
"Bolivia","male",28,"single",8,9
"Bolivia","female",30,"single",10,6
"Bolivia","male",70,"married",10,10
"Bolivia","male",53,"divorced",5,5
"Bolivia","male",60,"married",6,5
"Bolivia","male",37,"single",9,9
"Bolivia","male",18,"single",5,4
"Bolivia","female",45,"living together as married",10,6
"Bolivia","female",32,"single",9,8
"Bolivia","male",46,"married",8,6
"Bolivia","male",37,"separated",4,5
"Bolivia","male",39,"married",7,7
"Bolivia","female",23,"single",6,7
"Bolivia","male",41,"single",6,7
"Bolivia","female",45,"married",8,8
"Bolivia","male",20,"single",6,8
"Bolivia","male",27,"single",8,8
"Bolivia","male",21,"single",7,10
"Bolivia","female",41,"living together as married",8,9
"Bolivia","female",20,"single",9,7
"Bolivia","female",76,"widowed",10,10
"Bolivia","male",46,"living together as married",7,8
"Bolivia","female",33,"separated",6,5
"Bolivia","female",43,"separated",5,8
"Bolivia","female",47,"married",9,4
"Bolivia","female",20,"single",10,10
"Bolivia","male",18,"single",10,7
"Bolivia","male",49,"married",5,5
"Bolivia","male",40,"living together as married",9,9
"Bolivia","male",30,"married",10,10
"Bolivia","male",24,"single",10,10
"Bolivia","female",74,"widowed",6,6
"Bolivia","male",28,"married",7,9
"Bolivia","female",18,"single",5,4
"Bolivia","female",33,"married",10,9
"Bolivia","male",28,"living together as married",8,9
"Bolivia","male",20,"single",6,7
"Bolivia","male",54,"married",7,9
"Bolivia","male",62,"married",8,9
"Bolivia","male",28,"single",10,8
"Bolivia","male",43,"single",8,3
"Bolivia","male",59,"married",8,8
"Bolivia","female",61,"divorced",8,6
"Bolivia","male",50,"divorced",5,5
"Bolivia","female",18,"single",6,7
"Bolivia","male",19,"single",10,9
"Bolivia","male",38,"married",1,10
"Bolivia","male",52,"divorced",4,2
"Bolivia","female",60,"single",10,10
"Bolivia","female",25,"married",9,9
"Bolivia","female",50,"married",5,5
"Bolivia","female",29,"married",9,9
"Bolivia","male",66,"married",7,5
"Bolivia","male",38,"married",9,7
"Bolivia","male",29,"living together as married",7,9
"Bolivia","female",26,"married",9,9
